Timestamp,Event Type,Confidence,Image Evidence Path
2025-12-02_02-13-56,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-13-56.jpg
2025-12-02_02-13-59,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-13-59.jpg
2025-12-02_02-14-10,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-14-10.jpg
2025-12-02_02-14-29,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-14-29.jpg
2025-12-02_02-14-32,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-14-32.jpg
2025-12-02_02-14-35,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-14-35.jpg
2025-12-02_02-14-43,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-14-43.jpg
2025-12-02_02-14-46,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-14-46.jpg
2025-12-02_02-14-56,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-14-56.jpg
2025-12-02_02-15-02,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-15-02.jpg
2025-12-02_02-15-19,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-15-19.jpg
2025-12-02_02-15-23,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-15-23.jpg
2025-12-02_02-15-29,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-15-29.jpg
2025-12-02_02-22-02,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-22-02.jpg
2025-12-02_02-22-05,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-22-05.jpg
2025-12-02_02-22-08,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-22-08.jpg
2025-12-02_02-22-11,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-22-11.jpg
2025-12-02_02-22-20,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-22-20.jpg
2025-12-02_02-23-16,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-23-16.jpg
2025-12-02_02-23-26,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-23-26.jpg
2025-12-02_02-23-32,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-23-32.jpg
2025-12-02_02-24-15,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-24-15.jpg
2025-12-02_02-26-49,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-26-49.jpg
2025-12-02_02-27-21,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-27-21.jpg
2025-12-02_02-31-01,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-31-01.jpg
2025-12-02_02-31-04,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-31-04.jpg
2025-12-02_02-31-07,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-31-07.jpg
2025-12-02_02-31-15,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-31-15.jpg
2025-12-02_02-31-19,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-31-19.jpg
2025-12-02_02-31-24,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-31-24.jpg
2025-12-02_02-31-27,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-31-27.jpg
2025-12-02_02-31-49,CRITICAL: HARASSMENT DETECTED,0.95,evidence_locker/alert_2025-12-02_02-31-49.jpg
2025-12-02_02-37-22,CRITICAL: AGGRESSIVE POSE,0.9,evidence_locker/alert_2025-12-02_02-37-22.jpg
2025-12-02_02-37-30,CRITICAL: AGGRESSIVE POSE,0.9,evidence_locker/alert_2025-12-02_02-37-30.jpg
2025-12-02_02-37-35,CRITICAL: AGGRESSIVE POSE,0.9,evidence_locker/alert_2025-12-02_02-37-35.jpg
2025-12-02_02-37-40,CRITICAL: AGGRESSIVE POSE,0.9,evidence_locker/alert_2025-12-02_02-37-40.jpg
2025-12-02_02-37-42,CRITICAL: AGGRESSIVE POSE,0.9,evidence_locker/alert_2025-12-02_02-37-42.jpg
2025-12-02_02-37-44,CRITICAL: AGGRESSIVE POSE,0.9,evidence_locker/alert_2025-12-02_02-37-44.jpg
2025-12-02_02-37-47,CRITICAL: AGGRESSIVE POSE,0.9,evidence_locker/alert_2025-12-02_02-37-47.jpg
2025-12-02_02-37-52,CRITICAL: AGGRESSIVE POSE,0.9,evidence_locker/alert_2025-12-02_02-37-52.jpg
2025-12-02_02-37-54,CRITICAL: AGGRESSIVE POSE,0.9,evidence_locker/alert_2025-12-02_02-37-54.jpg
2025-12-02_02-38-00,CRITICAL: AGGRESSIVE POSE,0.9,evidence_locker/alert_2025-12-02_02-38-00.jpg
2025-12-02_02-38-02,CRITICAL: AGGRESSIVE POSE,0.9,evidence_locker/alert_2025-12-02_02-38-02.jpg
2025-12-02_02-38-09,CRITICAL: AGGRESSIVE POSE,0.9,evidence_locker/alert_2025-12-02_02-38-09.jpg
2025-12-02_12-06-36,CRITICAL: AGGRESSIVE POSE,0.9,evidence_locker/alert_2025-12-02_12-06-36.jpg
2025-12-02_12-06-39,CRITICAL: AGGRESSIVE POSE,0.9,evidence_locker/alert_2025-12-02_12-06-39.jpg
2025-12-02_12-06-46,CRITICAL: AGGRESSIVE POSE,0.9,evidence_locker/alert_2025-12-02_12-06-46.jpg
2025-12-02_12-07-11,CRITICAL: AGGRESSIVE POSE,0.9,evidence_locker/alert_2025-12-02_12-07-11.jpg
2025-12-02_12-07-17,CRITICAL: AGGRESSIVE POSE,0.9,evidence_locker/alert_2025-12-02_12-07-17.jpg
2025-12-02_12-07-20,CRITICAL: AGGRESSIVE POSE,0.9,evidence_locker/alert_2025-12-02_12-07-20.jpg
2025-12-02_12-07-22,CRITICAL: AGGRESSIVE POSE,0.9,evidence_locker/alert_2025-12-02_12-07-22.jpg
2025-12-02_12-07-25,CRITICAL: AGGRESSIVE POSE,0.9,evidence_locker/alert_2025-12-02_12-07-25.jpg
2025-12-02_12-07-38,CRITICAL: AGGRESSIVE POSE,0.9,evidence_locker/alert_2025-12-02_12-07-38.jpg
